constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
59,Rajshahi,Natore-2,24.4,47.2,Ruhul Quddus Talukdar Dulu,BNP,162841.0,Md. Yunus Ali,Jamaat,130066.0,32775.0,406886,201655,205222,9,Normal,292907.0,55.59477923026763,11.189558460535256,49.56056487566542,50.43722320256779,0.0022119217667847,-0.8766583269023727,Close,1.0
60,Rajshahi,Natore-3,24.4,47.2,Md. Anwarul Islam,BNP,119768.0,Md. Daudar Mahmud,IND,66492.0,53276.0,326872,164088,162781,3,Normal,186260.0,64.30151401267045,28.60302802534092,50.19946645781835,49.799615751731565,0.0009177904500844,0.3998507060867879,Moderate,1.0
61,Rajshahi,Natore-4,24.4,47.2,Md. Abdul Aziz,BNP,170551.0,Md. Abdul Hakim,Jamaat,135386.0,35165.0,445172,221348,223821,3,Normal,305937.0,55.74709825879184,11.494196517583685,49.72190524112028,50.27742086204883,0.0006738968308878,-0.5555156209285457,Close,1.0
62,Rajshahi,Sirajganj-1,10.9,47.2,Md. Salim Reza,BNP,116613.0,Md. Shahinur Alam,Jamaat,108815.0,7798.0,385024,189676,195344,4,Normal,225428.0,51.72959880760154,3.45919761520308,49.26342253989361,50.735538563829785,0.0010388962765957,-1.4721160239361737,Very Close,1.0
63,Rajshahi,Sirajganj-2,10.9,47.2,Iqbal Hasan Mahmud Tuku,BNP,176638.0,Muhammad Zahidul Islam,Jamaat,136595.0,40043.0,469878,235248,234626,4,Normal,313233.0,56.39188718940852,12.783774378817048,50.065761750922576,49.93338696427583,0.0008512848015867,0.1323747866467428,Close,0.0
64,Rajshahi,Sirajganj-3,10.9,47.2,Md. Ainul Haque,BNP,174430.0,Muha: Abdur Rauf Sarkar,BKM,116802.0,57628.0,444427,222737,221683,7,Normal,291232.0,59.89383034831337,19.787660696626745,50.11779212334084,49.88063281483798,0.0015750618211764,0.2371593085028607,Moderate,0.0
65,Rajshahi,Sirajganj-4,10.9,47.2,Md. Rafiqul Islam Khan,Jamaat,161872.0,M. Akbar Ali,BNP,161278.0,594.0,475821,243680,232125,16,Normal,323150.0,50.09190778276342,0.1838155655268451,51.21253580653229,48.78410158441935,0.0033626090483606,2.4284342221129336,Very Close,0.0
66,Rajshahi,Sirajganj-5,10.9,47.2,Md. Amirul Islam Khan,BNP,134197.0,Md. Ali Alam,Jamaat,105188.0,29009.0,426321,218664,207655,2,Normal,239385.0,56.05906802848967,12.118136056979342,51.29092866642742,48.70860220350393,0.0004691300686571,2.58232646292349,Close,0.0
67,Rajshahi,Sirajganj-6,10.9,47.2,M. A. Muhit,BNP,171508.0,SM Saif Mostafiz,NCP,103884.0,67624.0,485387,246412,238972,3,Normal,275392.0,62.27777132233325,24.555542644666517,50.76608973870334,49.23329219777209,0.000618063524569,1.5327975409312558,Moderate,0.0
68,Rajshahi,Pabna-1,12.1,47.2,Mohammad Najibur Rahman,Jamaat,129974.0,Md. Shamsur Rahman,BNP,104245.0,25729.0,340935,174438,166496,1,Normal,234219.0,55.492509147421856,10.985018294843716,51.164591491046686,48.83511519791163,0.0002933110416941,2.329476293135059,Close,0.0
69,Rajshahi,Pabna-2,12.1,47.2,AKM Salim Reza Habib,BNP,213950.0,Md. Hesab Uddin,Jamaat,75387.0,138563.0,497394,254704,242689,1,Normal,289337.0,73.94491544461994,47.88983088923988,51.207694503753565,48.79210444838498,0.0002010478614538,2.4155900553685825,Large,2.0
70,Rajshahi,Pabna-3,12.1,47.2,Muhammad Ali Asghar,Jamaat,147475.0,Md. Hasan Zafir Tuhin,BNP,144206.0,3269.0,486806,243937,242863,6,Normal,291681.0,50.56037246169617,1.120744923392336,50.1096946216768,49.88907285448413,0.0012325238390652,0.2206217671926751,Very Close,1.0
71,Rajshahi,Pabna-4,12.1,47.2,Md. Abu Taleb Mandal,Jamaat,137675.0,Md. Habibur Rahman,BNP,133874.0,3801.0,440168,221442,218720,6,Normal,271549.0,50.69987368762175,1.3997473752435103,50.30851856563857,49.69011831846022,0.0013631159012013,0.6184002471783501,Very Close,0.0
72,Rajshahi,Pabna-5,12.1,47.2,Shamsur Rahman Simul Biswas,BNP,181925.0,Md. Iqbal Hossain,Jamaat,164994.0,16931.0,528044,266433,261608,3,Normal,346919.0,52.440194973466426,4.8803899469328575,50.45659073865056,49.54284112687579,0.0005681344736423,0.9137496117747688,Very Close,0.0
73,Khulna,Meherpur-1,9.8,52.9,Md. Tajuddin Khan,Jamaat,123271.0,Masood Arun,BNP,105441.0,17830.0,316975,157890,159082,3,Normal,228712.0,53.89791528210151,7.795830564203015,49.81149932960013,50.18755422351921,0.0009464468806688,-0.3760548939190755,Close,0.0
74,Khulna,Meherpur-2,9.8,52.9,Md. Nazmul Huda,Jamaat,96306.0,Md. Amjad Hossain,BNP,85988.0,10318.0,270705,135087,135615,3,Normal,182294.0,52.83004377543967,5.660087550879349,49.90192275724497,50.09696902532277,0.0011082174322602,-0.1950462680778031,Close,0.0
